Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.385 FI5LW4G02S0Y0X length=430	418	0.550239234449761	37.5143540669856	40	5.10428744304182
@SRR034130.387 FI5LW4G02PK7UA length=381	357	0.476190476190476	39.2212885154062	40	2.31841565385786
@SRR034130.389 FI5LW4G02QP98B length=425	409	0.496332518337408	37.7799511002445	40	4.72534768899779
@SRR034130.390 FI5LW4G02Q346J length=430	417	0.328537170263789	36.0887290167866	40	6.71853725537579
@SRR034130.395 FI5LW4G02SF89E length=423	357	0.425770308123249	32.3361344537815	36	8.17842871531778
@SRR034130.396 FI5LW4G02TRAVX length=572	342	0.248538011695906	20.3099415204678	17	9.73206240764246
@SRR034130.398 FI5LW4G02P5MW3 length=538	412	0.424757281553398	34.6310679611651	39	7.49726995407171
@SRR034130.402 FI5LW4G02TLX4E length=396	392	0.48469387755102	33.5816326530612	36	7.75345608197368
@SRR034130.403 FI5LW4G02PTZDS length=503	406	0.416256157635468	30.6182266009852	33	8.83369323140384
@SRR034130.405 FI5LW4G02TWEL9 length=492	419	0.400954653937947	35.2267303102625	38	6.36555109310729
@SRR034130.407 FI5LW4G02Q1IYA length=486	288	0.496527777777778	30.9618055555556	35	8.92917932502788
@SRR034130.408 FI5LW4G02P5S5T length=443	429	0.475524475524476	37.0909090909091	40	5.79708566514295
@SRR034130.409 FI5LW4G02P8AM9 length=418	415	0.325301204819277	34.1807228915663	39	8.46068569175788
@SRR034130.414 FI5LW4G02PNWLN length=374	367	0.438692098092643	35.2615803814714	40	6.83707513507597
@SRR034130.415 FI5LW4G02RVKI2 length=431	404	0.254950495049505	33.289603960396	36.5	7.51988535639238
@SRR034130.418 FI5LW4G02QYHA2 length=373	366	0.554644808743169	34.3934426229508	38	7.37996997846199
@SRR034130.419 FI5LW4G02SYLIO length=431	425	0.461176470588235	36.7717647058824	40	5.35196604160974
@SRR034130.421 FI5LW4G02R2JZR length=486	467	0.282655246252677	32.3661670235546	36	9.03526536717683
@SRR034130.422 FI5LW4G02TNYZI length=491	475	0.412631578947368	33.8989473684211	39	8.4956118573389
@SRR034130.423 FI5LW4G02P4GDJ length=468	444	0.322072072072072	35.2207207207207	39	7.22523314930266
@SRR034130.424 FI5LW4G02QLP53 length=466	444	0.378378378378378	36.9121621621622	40	6.19465551421417
@SRR034130.425 FI5LW4G02SJX0U length=436	422	0.509478672985782	36.4218009478673	40	6.35245841114071
@SRR034130.428 FI5LW4G02PUY2B length=436	413	0.501210653753027	35.0677966101695	39	7.30475667858208
@SRR034130.431 FI5LW4G02TLICL length=420	398	0.515075376884422	32.8341708542714	36	7.83473105931166
@SRR034130.433 FI5LW4G02R3R79 length=399	393	0.348600508905852	30.6793893129771	33	9.27081263822372
@SRR034130.437 FI5LW4G02QL5UX length=529	458	0.58296943231441	36.0109170305677	40	6.48090030331125
@SRR034130.438 FI5LW4G02Q64V3 length=451	413	0.273607748184019	31.3946731234867	34	9.19538036729331
@SRR034130.439 FI5LW4G02QDWUZ length=454	423	0.459715639810427	31.0685579196217	34	9.36427260762835
@SRR034130.440 FI5LW4G02RFXCD length=406	383	0.527415143603133	30.9973890339426	33	8.34733512183467
@SRR034130.441 FI5LW4G02PRXXQ length=519	515	0.561165048543689	35.2	40	6.92685519967024
@SRR034130.445 FI5LW4G02TCAI0 length=408	407	0.314496314496314	36.1351351351351	40	5.87965674737185
@SRR034130.447 FI5LW4G02Q2Z1O length=383	365	0.46027397260274	37.7397260273973	40	4.94649225603543
@SRR034130.448 FI5LW4G02TXJQN length=453	432	0.37037037037037	35.6203703703704	40	7.33926615573621
@SRR034130.452 FI5LW4G02PHHYY length=430	417	0.369304556354916	35.599520383693	40	7.06360524096474
